5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
2/26/2018 0:00,18,71.90,16,69.70,7,62.70,41,69.50,3,100.00
2/26/2018 0:05,13,72.10,18,69.50,6,62.60,37,69.30,3,100.00
2/26/2018 0:10,10,72.10,10,69.60,1,62.60,21,70.50,3,100.00
2/26/2018 0:15,13,72.30,7,69.70,3,62.60,23,70.20,3,100.00
2/26/2018 0:20,10,72.10,17,69.60,3,62.70,30,69.70,3,100.00
2/26/2018 0:25,7,72.00,10,69.70,4,62.70,21,69.10,3,100.00
2/26/2018 0:30,3,71.90,4,69.60,2,62.80,9,68.90,3,100.00
2/26/2018 0:35,7,72.00,12,69.30,2,62.90,21,69.60,3,100.00
2/26/2018 0:40,11,72.10,8,68.90,3,62.90,22,69.70,3,100.00
2/26/2018 0:45,13,71.90,12,69.50,3,63.00,28,69.90,3,100.00
2/26/2018 0:50,8,71.80,12,69.30,2,62.90,22,69.60,3,100.00
2/26/2018 0:55,8,71.80,6,69.50,1,62.80,15,70.30,3,100.00
2/26/2018 1:00,14,70.40,3,69.00,2,62.80,19,69.40,3,100.00
2/26/2018 1:05,7,71.30,4,69.30,2,62.70,13,69.40,3,100.00
2/26/2018 1:10,10,71.70,8,69.50,2,62.70,20,69.90,3,100.00
2/26/2018 1:15,9,71.00,4,69.60,3,62.80,16,69.10,3,100.00
2/26/2018 1:20,4,71.40,12,69.50,1,62.80,17,69.60,3,100.00
2/26/2018 1:25,7,71.70,9,69.80,1,62.70,17,70.20,3,100.00
2/26/2018 1:30,5,71.60,2,69.60,0,62.70,7,71.00,3,100.00
2/26/2018 1:35,3,71.90,9,69.70,5,62.50,17,68.00,3,100.00
2/26/2018 1:40,3,71.90,5,69.70,2,62.40,10,68.90,3,100.00
2/26/2018 1:45,4,71.90,10,69.10,4,62.40,18,68.20,3,100.00
2/26/2018 1:50,7,71.90,5,69.50,5,62.40,17,68.40,3,100.00
