,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2017-12-25 00:00:00,11,74.8,6,71.0,12,67.4,9,62.8,38,69.0,4,100
1,2017-12-25 00:05:00,20,74.8,8,71.0,20,67.5,17,62.7,65,68.9,4,100
2,2017-12-25 00:10:00,19,74.9,8,71.1,20,67.1,17,62.8,64,68.8,4,100
3,2017-12-25 00:15:00,22,73.9,6,70.9,17,67.1,6,62.7,51,70.0,4,100
4,2017-12-25 00:20:00,17,74.6,2,71.0,15,67.4,6,62.6,40,69.9,4,100
5,2017-12-25 00:25:00,17,74.7,3,71.0,16,67.3,9,62.6,45,69.4,4,100
6,2017-12-25 00:30:00,19,74.8,3,71.0,10,67.4,15,62.7,47,69.1,4,100
7,2017-12-25 00:35:00,12,74.8,5,71.0,14,67.1,10,62.7,41,68.8,4,100
8,2017-12-25 00:40:00,11,74.8,3,71.0,12,67.3,7,62.8,33,69.2,4,100
9,2017-12-25 00:45:00,17,75.1,3,71.0,12,67.4,7,62.8,39,70.2,4,100
10,2017-12-25 00:50:00,14,75.0,6,71.0,22,67.4,6,62.7,48,69.5,4,100
11,2017-12-25 00:55:00,13,75.0,0,71.0,10,67.4,3,62.8,26,70.7,4,100
12,2017-12-25 01:00:00,13,75.0,4,71.1,10,67.3,2,62.7,29,71.0,4,100
13,2017-12-25 01:05:00,9,74.7,2,71.1,9,67.5,5,62.7,25,69.4,4,100
14,2017-12-25 01:10:00,10,74.9,2,71.1,13,67.5,2,62.8,27,70.2,4,100
15,2017-12-25 01:15:00,13,75.0,5,71.0,12,67.4,8,62.7,38,69.5,4,100
16,2017-12-25 01:20:00,6,75.0,3,71.1,11,67.4,8,62.8,28,68.1,4,100
17,2017-12-25 01:25:00,6,75.0,3,71.1,9,67.5,4,62.8,22,69.2,4,100
18,2017-12-25 01:30:00,10,75.0,3,71.0,5,67.4,4,62.7,22,70.5,4,100
19,2017-12-25 01:35:00,6,74.8,1,71.1,16,66.8,4,62.7,27,68.1,4,100
20,2017-12-25 01:40:00,13,74.9,1,70.9,9,67.3,4,62.7,27,70.4,4,100
21,2017-12-25 01:45:00,5,75.2,7,70.9,7,67.3,5,62.7,24,69.0,4,100
22,2017-12-25 01:50:00,5,75.0,3,71.0,7,67.4,5,62.7,20,68.7,4,100
23,2017-12-25 01:55:00,11,74.9,2,71.0,10,67.5,4,62.8,27,70.1,4,100
24,2017-12-25 02:00:00,6,74.9,0,71.0,12,67.9,6,63.0,24,68.4,4,100
25,2017-12-25 02:05:00,10,74.7,2,71.0,12,68.0,4,63.0,28,69.9,4,100
26,2017-12-25 02:10:00,8,74.9,0,71.0,5,67.8,7,62.8,20,68.9,4,100
27,2017-12-25 02:15:00,6,74.8,1,70.9,5,67.8,3,62.9,15,69.8,4,100
28,2017-12-25 02:20:00,2,74.9,2,70.8,5,67.7,6,62.9,15,67.2,4,100
29,2017-12-25 02:25:00,7,74.9,1,71.0,6,67.7,4,63.0,18,69.6,4,100
30,2017-12-25 02:30:00,5,74.9,2,70.9,7,67.8,1,63.0,15,70.3,4,100
31,2017-12-25 02:35:00,5,74.9,2,70.9,9,68.0,3,62.9,19,69.3,4,100
32,2017-12-25 02:40:00,3,74.9,3,71.1,2,67.8,6,62.9,14,67.9,4,100
33,2017-12-25 02:45:00,7,74.9,3,71.0,6,67.7,2,63.4,18,70.6,4,100
34,2017-12-25 02:50:00,9,75.0,0,71.0,5,67.9,4,63.2,18,70.4,4,100
35,2017-12-25 02:55:00,7,75.0,1,70.9,4,67.7,8,63.2,20,68.6,4,100
36,2017-12-25 03:00:00,5,75.0,0,70.9,4,67.6,4,63.2,13,69.1,4,100
37,2017-12-25 03:05:00,5,75.0,4,70.9,2,67.5,0,63.2,11,72.1,4,100
38,2017-12-25 03:10:00,5,75.0,3,71.0,7,67.4,2,63.3,17,69.8,4,100
39,2017-12-25 03:15:00,6,75.0,0,71.0,4,67.4,6,63.3,16,68.7,4,100
40,2017-12-25 03:20:00,3,75.0,2,71.0,7,67.4,0,63.3,12,69.9,4,100
41,2017-12-25 03:25:00,2,75.0,2,70.9,2,67.5,2,63.3,8,69.2,4,100
42,2017-12-25 03:30:00,5,75.0,1,70.9,6,67.6,3,63.2,15,69.4,4,100
43,2017-12-25 03:35:00,7,74.9,0,70.9,5,67.6,4,63.1,16,69.7,4,100
44,2017-12-25 03:40:00,6,74.9,1,70.9,8,67.6,3,63.2,18,69.5,4,100
45,2017-12-25 03:45:00,6,74.9,1,70.9,4,67.5,4,63.3,15,69.6,4,100
46,2017-12-25 03:50:00,7,75.0,1,71.0,6,67.5,2,63.2,16,70.5,4,100
47,2017-12-25 03:55:00,6,75.1,0,71.0,2,67.6,4,63.3,12,69.9,4,100
48,2017-12-25 04:00:00,4,75.0,4,71.1,2,67.6,4,63.2,14,69.5,4,100
49,2017-12-25 04:05:00,6,75.0,2,71.0,9,67.6,1,62.9,18,70.2,4,100
50,2017-12-25 04:10:00,4,74.9,1,71.0,3,67.5,1,62.7,9,70.6,4,100
51,2017-12-25 04:15:00,6,74.7,5,71.1,6,67.5,2,62.7,19,70.2,4,100
52,2017-12-25 04:20:00,10,74.8,5,71.0,6,67.5,2,62.8,23,71.0,4,100
53,2017-12-25 04:25:00,11,75.0,4,71.0,5,67.4,5,62.5,25,70.3,4,100
54,2017-12-25 04:30:00,9,75.0,1,71.0,9,67.6,2,62.7,21,70.5,4,100
55,2017-12-25 04:35:00,10,75.0,1,71.0,7,67.4,3,62.9,21,70.5,4,100
56,2017-12-25 04:40:00,10,75.2,3,71.0,12,67.7,4,62.9,29,70.0,4,100
57,2017-12-25 04:45:00,4,75.0,1,71.0,5,67.7,3,62.9,13,69.1,4,100
58,2017-12-25 04:50:00,10,75.0,4,71.0,7,67.7,6,63.0,27,69.8,4,100
59,2017-12-25 04:55:00,11,75.0,1,71.1,7,67.6,3,62.9,22,70.8,4,100
60,2017-12-25 05:00:00,13,75.2,4,71.0,3,67.5,1,63.1,21,72.7,4,100
61,2017-12-25 05:05:00,8,75.1,2,71.0,6,67.2,2,63.0,18,70.7,4,100
62,2017-12-25 05:10:00,6,75.0,2,70.9,6,67.4,0,63.0,14,71.2,4,100
63,2017-12-25 05:15:00,8,75.0,3,70.9,5,67.5,3,63.0,19,70.5,4,100
64,2017-12-25 05:20:00,10,75.0,1,70.9,6,67.3,5,63.1,22,70.0,4,100
65,2017-12-25 05:25:00,13,75.1,3,71.0,11,67.5,0,63.1,27,71.5,4,100
66,2017-12-25 05:30:00,10,75.1,7,71.1,9,66.5,2,63.0,28,70.5,4,100
67,2017-12-25 05:35:00,12,75.0,3,71.1,11,66.9,5,62.9,31,69.8,4,100
68,2017-12-25 05:40:00,15,75.1,2,71.2,8,67.3,5,62.7,30,70.7,4,100
69,2017-12-25 05:45:00,15,75.0,5,71.2,6,67.5,11,62.8,37,69.6,4,100
70,2017-12-25 05:50:00,21,75.2,8,71.2,7,67.5,4,62.9,40,71.8,4,100
71,2017-12-25 05:55:00,8,74.9,5,71.2,8,67.4,6,62.9,27,69.3,4,100
72,2017-12-25 06:00:00,15,75.0,4,71.3,9,67.3,8,63.0,36,70.0,4,100
73,2017-12-25 06:05:00,12,75.4,2,71.2,7,67.5,4,62.8,25,70.8,4,100
74,2017-12-25 06:10:00,10,75.3,3,71.2,10,67.0,4,62.8,27,69.9,4,100
75,2017-12-25 06:15:00,10,75.3,2,71.1,9,67.4,10,62.6,31,68.6,4,100
76,2017-12-25 06:20:00,13,75.2,8,71.0,10,67.7,8,62.7,39,69.9,4,100
77,2017-12-25 06:25:00,8,75.1,4,71.0,10,67.6,8,62.7,30,68.7,4,100
78,2017-12-25 06:30:00,12,75.1,6,70.9,12,67.6,5,62.8,35,70.1,4,100
79,2017-12-25 06:35:00,12,75.1,4,71.0,10,67.7,7,62.7,33,69.7,4,100
80,2017-12-25 06:40:00,13,75.2,5,71.0,12,67.5,10,62.8,40,69.3,4,100
81,2017-12-25 06:45:00,19,75.3,2,71.0,11,67.6,11,62.8,43,69.9,4,100
82,2017-12-25 06:50:00,19,75.4,5,71.0,17,67.8,8,62.9,49,70.3,4,100
83,2017-12-25 06:55:00,19,75.5,7,70.9,15,67.9,11,62.8,52,70.0,4,100
84,2017-12-25 07:00:00,11,75.0,3,70.9,12,67.7,11,63.0,37,68.7,4,100
85,2017-12-25 07:05:00,19,74.6,11,71.0,18,67.6,7,62.8,55,70.1,4,100
86,2017-12-25 07:10:00,22,74.8,4,71.0,11,67.6,7,62.9,44,70.8,4,100
87,2017-12-25 07:15:00,20,74.8,11,71.0,13,67.6,8,62.9,52,70.4,4,100
88,2017-12-25 07:20:00,19,75.0,11,71.0,22,67.0,4,62.8,56,70.2,4,100
89,2017-12-25 07:25:00,22,74.7,10,71.0,12,67.3,3,62.9,47,71.3,4,100
90,2017-12-25 07:30:00,17,74.7,8,71.0,11,67.5,2,62.9,38,71.2,4,100
91,2017-12-25 07:35:00,23,75.3,8,71.0,20,67.6,7,62.9,58,70.6,4,100
92,2017-12-25 07:40:00,21,75.0,7,71.0,10,67.6,6,62.9,44,71.0,4,100
93,2017-12-25 07:45:00,25,74.9,16,71.1,21,67.6,6,62.9,68,70.7,4,100
94,2017-12-25 07:50:00,18,75.0,9,71.1,13,67.8,5,62.9,45,70.8,4,100
95,2017-12-25 07:55:00,16,74.9,6,71.0,17,67.1,8,62.7,47,69.5,4,100
96,2017-12-25 08:00:00,13,75.2,7,71.1,13,67.4,7,62.9,40,69.8,4,100
97,2017-12-25 08:05:00,22,75.5,6,71.2,14,67.4,10,62.9,52,70.4,4,100
98,2017-12-25 08:10:00,17,75.4,8,71.1,14,67.5,6,62.8,45,70.5,4,100
99,2017-12-25 08:15:00,17,75.5,5,71.1,13,67.6,8,62.7,43,70.2,4,100
100,2017-12-25 08:20:00,19,75.7,8,71.0,15,67.6,9,62.7,51,70.3,4,100
101,2017-12-25 08:25:00,25,76.2,12,71.1,19,67.5,5,62.8,61,71.4,4,100
102,2017-12-25 08:30:00,21,76.1,10,71.1,14,67.4,8,62.5,53,70.8,4,100
103,2017-12-25 08:35:00,19,75.9,10,71.2,19,67.8,12,62.6,60,69.9,4,100
104,2017-12-25 08:40:00,19,75.9,15,71.2,24,67.8,18,62.6,76,69.3,4,100
105,2017-12-25 08:45:00,19,75.8,10,71.2,15,67.8,11,62.7,55,70.2,4,100
106,2017-12-25 08:50:00,23,75.7,9,71.3,20,66.9,15,62.6,67,69.5,4,100
107,2017-12-25 08:55:00,27,76.0,9,71.3,21,67.5,11,62.6,68,70.6,4,100
108,2017-12-25 09:00:00,15,75.7,11,71.3,18,67.5,9,63.0,53,69.8,4,100
109,2017-12-25 09:05:00,23,75.8,8,71.2,21,67.5,14,63.4,66,70.0,4,100
110,2017-12-25 09:10:00,22,76.1,12,71.2,23,67.2,13,63.5,70,70.0,4,100
111,2017-12-25 09:15:00,25,76.3,11,71.3,29,66.9,14,63.5,79,69.9,4,100
112,2017-12-25 09:20:00,23,76.1,14,71.3,30,66.8,17,63.5,84,69.4,4,100
113,2017-12-25 09:25:00,22,76.0,20,71.4,25,67.1,11,63.4,78,70.2,4,100
114,2017-12-25 09:30:00,29,76.6,11,71.4,33,67.4,20,63.9,93,70.0,4,100
115,2017-12-25 09:35:00,25,76.3,17,71.3,29,66.9,20,63.8,91,69.6,4,100
116,2017-12-25 09:40:00,34,76.8,20,71.2,38,66.2,24,64.1,116,69.7,4,100
117,2017-12-25 09:45:00,39,77.3,23,71.3,36,67.0,24,64.0,122,70.5,4,100
118,2017-12-25 09:50:00,36,77.9,19,71.4,40,66.9,35,65.3,130,70.2,4,100
119,2017-12-25 09:55:00,36,78.1,24,71.6,28,67.5,27,65.1,115,71.1,4,100
120,2017-12-25 10:00:00,33,77.8,23,71.6,40,67.8,25,64.8,121,70.6,4,100
121,2017-12-25 10:05:00,38,77.8,20,71.5,44,67.4,29,64.9,131,70.5,4,100
122,2017-12-25 10:10:00,40,78.6,22,71.4,21,67.3,24,64.7,107,71.8,4,100
123,2017-12-25 10:15:00,40,78.7,19,71.4,43,68.4,24,63.7,126,71.2,4,100
124,2017-12-25 10:20:00,49,79.0,32,71.5,39,68.3,36,64.7,156,71.5,4,100
125,2017-12-25 10:25:00,48,79.9,28,71.6,27,66.2,26,64.8,129,72.2,4,100
126,2017-12-25 10:30:00,48,80.0,37,71.5,43,66.0,24,64.2,152,71.5,4,100
127,2017-12-25 10:35:00,54,79.3,39,71.3,42,66.4,26,64.0,161,71.5,4,100
128,2017-12-25 10:40:00,56,80.3,40,71.9,49,67.1,34,64.7,179,71.8,4,100
129,2017-12-25 10:45:00,59,82.1,34,72.0,54,67.5,27,64.5,174,72.9,4,100
130,2017-12-25 10:50:00,61,81.5,40,72.2,54,67.3,28,64.3,183,72.6,4,100
131,2017-12-25 10:55:00,75,81.7,33,72.0,42,67.7,26,64.1,176,73.9,4,100
132,2017-12-25 11:00:00,58,79.5,53,73.0,42,67.6,24,63.9,177,72.6,4,100
133,2017-12-25 11:05:00,66,80.1,47,72.1,58,67.8,29,64.4,200,72.4,4,100
134,2017-12-25 11:10:00,55,80.7,42,72.5,59,68.2,31,63.7,187,72.1,4,100
135,2017-12-25 11:15:00,54,80.5,43,72.5,56,67.6,30,64.3,183,72.0,4,100
136,2017-12-25 11:20:00,67,82.1,48,72.3,46,67.5,32,64.6,193,73.3,4,100
137,2017-12-25 11:25:00,57,81.7,45,72.7,48,67.3,43,64.9,193,72.3,4,100
138,2017-12-25 11:30:00,49,80.9,43,72.5,56,66.0,23,64.2,171,71.7,4,100
139,2017-12-25 11:35:00,56,81.2,32,72.1,52,65.9,37,65.2,177,71.7,4,100
140,2017-12-25 11:40:00,44,80.0,37,72.3,50,66.7,45,66.6,176,71.2,4,100
141,2017-12-25 11:45:00,50,80.6,34,72.2,44,66.6,28,65.7,156,72.1,4,100
142,2017-12-25 11:50:00,50,81.1,40,72.1,44,66.5,29,65.1,163,72.1,4,100
143,2017-12-25 11:55:00,52,81.9,30,72.0,59,67.4,30,64.8,171,72.2,4,100
144,2017-12-25 12:00:00,55,81.4,32,71.6,52,66.8,47,65.5,186,71.6,4,100
145,2017-12-25 12:05:00,41,79.8,20,71.4,48,67.8,21,64.6,130,71.6,4,100
146,2017-12-25 12:10:00,59,81.1,18,71.1,34,67.6,38,64.8,149,72.7,4,100
147,2017-12-25 12:15:00,56,80.8,33,71.0,45,67.0,36,64.3,170,71.8,4,100
148,2017-12-25 12:20:00,66,81.6,37,71.0,49,66.2,29,64.1,181,72.5,4,100
149,2017-12-25 12:25:00,41,80.2,33,71.0,49,66.9,36,63.1,159,70.3,4,100
150,2017-12-25 12:30:00,41,79.6,29,71.2,32,67.3,36,63.8,138,70.9,4,100
151,2017-12-25 12:35:00,48,79.6,30,71.3,43,66.8,33,64.4,154,71.2,4,100
152,2017-12-25 12:40:00,48,80.3,21,71.4,49,68.3,35,64.5,153,71.6,4,100
153,2017-12-25 12:45:00,41,79.3,30,71.2,42,68.2,24,64.1,137,71.5,4,100
154,2017-12-25 12:50:00,42,79.1,31,71.6,41,68.0,39,65.5,153,71.1,4,100
155,2017-12-25 12:55:00,52,79.6,30,71.4,49,42.0,35,65.5,166,64.0,4,100
156,2017-12-25 13:00:00,41,79.1,18,71.4,47,57.6,43,65.8,149,67.5,4,100
157,2017-12-25 13:05:00,52,80.2,25,71.4,44,64.8,35,65.7,156,71.2,4,100
158,2017-12-25 13:10:00,49,80.4,26,71.1,44,69.5,37,65.7,156,72.3,4,100
159,2017-12-25 13:15:00,49,80.1,28,71.2,50,71.1,38,65.8,165,72.6,4,100
160,2017-12-25 13:20:00,48,79.4,34,71.3,43,72.7,36,65.0,161,72.7,4,100
161,2017-12-25 13:25:00,53,79.9,30,71.3,49,72.6,42,65.4,174,72.9,4,100
162,2017-12-25 13:30:00,50,79.1,44,71.0,43,72.2,38,65.9,175,72.5,4,100
163,2017-12-25 13:35:00,54,79.2,30,71.3,54,74.2,42,66.2,180,73.3,4,100
164,2017-12-25 13:40:00,64,80.5,35,71.5,56,73.9,35,65.8,190,74.2,4,100
165,2017-12-25 13:45:00,50,79.5,33,71.6,53,73.5,41,64.8,177,72.8,4,100
